"Shape" "TSR_Breadth" "Peak_Count" "Total_Count" "Tag_Ratio" "Midpoint" "Start" "End"
"AT1G01010" "3.16852080163704" "60" "96" "360" "0.266666666666667" "3682" "3670" "3729"
"AT1G01020" "1.41430664062457" "6" "42" "183" "0.229508196721311" "8720" "8716" "8721"
"AT1G01040" "3.32693893649826" "12" "22" "630" "0.0349206349206349" "29618" "29610" "29621"
"AT1G01050" "2.08724893960889" "50" "623" "1428" "0.436274509803922" "33128" "33108" "33157"
"AT1G01070" "10.3012478374337" "10" "199" "531" "0.374764595103578" "40945" "40940" "40949"
"AT1G01080" "7.12500000005093" "2" "9" "54" "0.166666666666667" "46763" "46762" "46763"
"AT1G01090" "7.67947148119034" "57" "880" "2544" "0.345911949685535" "49278" "49240" "49296"
"AT1G01100" "3.47250067096889" "29" "2450" "5650" "0.433628318584071" "51188" "51172" "51200"
"AT1G01110" "2.93999999999453" "5" "27" "102" "0.264705882352941" "52978" "52975" "52979"
"AT1G01120" "3.03113375488047" "179" "580" "2838" "0.204369274136716" "58577" "58482" "58660"
"AT1G01130" "Completely_Peaked" "1" "12" "64" "0.1875" "63662" "63662" "63662"
"AT1G01140" "1.51321651832549" "12" "29" "102" "0.284313725490196" "67593" "67588" "67599"
"AT1G01160" "4.64283129616686" "78" "126" "621" "0.202898550724638" "72367" "72340" "72417"
"AT1G01170" "3.05572390152649" "30" "317" "656" "0.483231707317073" "74727" "74709" "74738"
"AT1G01180" "1.33692628071637" "7" "26" "506" "0.0513833992094862" "76354" "76351" "76357"
"AT1G01190" "4.37587434163489" "137" "13" "468" "0.0277777777777778" "84407" "84380" "84516"
"AT1G01200" "2.72941234585645" "20" "18" "202" "0.0891089108910891" "88075" "88070" "88089"
"AT1G01210" "1.24057029827662" "56" "80" "248" "0.32258064516129" "88926" "88901" "88956"
"AT1G01220" "2.38239064252622" "3" "23" "182" "0.126373626373626" "91766" "91765" "91767"
"AT1G01225" "8.11111111090415" "2" "10" "70" "0.142857142857143" "96007" "96006" "96007"
"AT1G01230" "5.0542398180184" "94" "251" "558" "0.449820788530466" "97489" "97465" "97558"
"AT1G01240" "1.49999999999971" "21" "12" "260" "0.0461538461538462" "101019" "101009" "101029"
"AT1G01260" "1.96955003817681" "44" "48" "291" "0.164948453608247" "109054" "109031" "109074"
"AT1G01290" "4.37789536028622" "44" "106" "366" "0.289617486338798" "114298" "114286" "114329"
"AT1G01300" "5.59691431180135" "109" "356" "961" "0.37044745057232" "117050" "117030" "117138"
"AT1G01310" "1.00569655500582" "19" "28" "60" "0.466666666666667" "120753" "120744" "120762"
"AT1G01320" "1.35555555554521" "2" "28" "413" "0.0677966101694915" "122158" "122158" "122159"
"AT1G01340" "1.5000000000291" "3" "21" "252" "0.0833333333333333" "134939" "134938" "134940"
"AT1G01350" "2.53677663601044" "7" "15" "228" "0.0657894736842105" "137695" "137691" "137697"
"AT1G01360" "1.36643652742287" "8" "131" "537" "0.243947858472998" "142096" "142093" "142100"
"AT1G01370" "1.05000000001164" "2" "9" "62" "0.145161290322581" "143563" "143562" "143563"
"AT1G01380" "1.34731677624011" "5" "29" "84" "0.345238095238095" "147213" "147210" "147214"
"AT1G01390" "Completely_Peaked" "1" "21" "60" "0.35" "149733" "149733" "149733"
"AT1G01420" "1.22599575255202" "32" "35" "326" "0.107361963190184" "155977" "155964" "155995"
"AT1G01430" "5.54146012581528" "53" "128" "414" "0.309178743961353" "158605" "158561" "158613"
"AT1G01440" "1.9976103666699" "49" "104" "391" "0.265984654731458" "162539" "162522" "162570"
"AT1G01448" "8.20453417807126" "11" "116" "330" "0.351515151515152" "163412" "163410" "163420"
"AT1G01453" "2.08353577591786" "18" "46" "177" "0.259887005649718" "167842" "167834" "167851"
"AT1G01470" "4.36811984839646" "198" "2133" "4512" "0.472739361702128" "172866" "172734" "172931"
"AT1G01480" "3.14526151945244" "10" "191" "424" "0.450471698113208" "175771" "175769" "175778"
"AT1G01490" "2.69480059605131" "100" "479" "1476" "0.324525745257453" "180757" "180710" "180809"
"AT1G01500" "7.5190476192835" "3" "47" "455" "0.103296703296703" "185141" "185141" "185143"
"AT1G01510" "4.38781480403577" "49" "217" "1222" "0.177577741407529" "187222" "187211" "187259"
"AT1G01520" "9.21953570860307" "10" "98" "122" "0.80327868852459" "190069" "190064" "190073"
"AT1G01540" "3.38464829575265" "43" "63" "504" "0.125" "195762" "195751" "195793"
"AT1G01550" "3.25485004352504" "111" "177" "2988" "0.0592369477911647" "199905" "199823" "199933"
"AT1G01570" "2.78153772116723" "4" "18" "120" "0.15" "204946" "204944" "204947"
"AT1G01580" "14.9393844467464" "7" "18" "273" "0.0659340659340659" "209292" "209291" "209297"
"AT1G01600" "1.05877304412734" "132" "30" "150" "0.2" "220627" "220560" "220691"
"AT1G01610" "2.09433950115203" "9" "21" "497" "0.0422535211267606" "223074" "223070" "223078"
"AT1G01620" "13.563642141695" "81" "1947" "5902" "0.329888173500508" "227236" "227190" "227270"
"AT1G01630" "5.47263297685964" "25" "228" "1207" "0.188898094449047" "229047" "229041" "229065"
"AT1G01640" "3.2035009781073" "75" "809" "1845" "0.438482384823848" "232461" "232430" "232504"
"AT1G01650" "3.06860012713205" "124" "126" "382" "0.329842931937173" "237760" "237700" "237823"
"AT1G01660" "1.18034933289334" "222" "26" "88" "0.295454545454545" "240253" "240144" "240365"
"AT1G01670" "4.48788280185877" "7" "20" "126" "0.158730158730159" "245984" "245983" "245989"
"AT1G01690" "4.20000000018626" "2" "6" "64" "0.09375" "252174" "252174" "252175"
"AT1G01710" "2.68235476559557" "41" "82" "488" "0.168032786885246" "266163" "266132" "266172"
"AT1G01720" "2.8709865494946" "41" "70" "1036" "0.0675675675675676" "269346" "269322" "269362"
"AT1G01725" "1.50257077453946" "69" "99" "136" "0.727941176470588" "270748" "270710" "270778"
"AT1G01730" "3.34081781667368" "43" "189" "601" "0.314475873544093" "271005" "270991" "271033"
"AT1G01740" "1.81666666674816" "2" "17" "129" "0.131782945736434" "274253" "274252" "274253"
"AT1G01750" "5.03933772905669" "10" "739" "2391" "0.309075700543706" "275437" "275433" "275442"
"AT1G01760" "5.16666666671517" "5" "56" "144" "0.388888888888889" "278467" "278464" "278468"
"AT1G01770" "1.41783843300537" "41" "75" "510" "0.147058823529412" "282573" "282550" "282590"
"AT1G01780" "3.33167018544527" "8" "237" "591" "0.401015228426396" "284119" "284114" "284121"
"AT1G01790" "1.20348836154866" "378" "46" "235" "0.195744680851064" "289120" "288930" "289307"
"AT1G01800" "4.53786081181543" "43" "210" "462" "0.454545454545455" "293377" "293353" "293395"
"AT1G01820" "3.56187440299032" "124" "1033" "2820" "0.366312056737589" "298113" "298063" "298186"
"AT1G01830" "2.33116585667142" "41" "57" "332" "0.171686746987952" "302137" "302121" "302161"
"AT1G01860" "3.70957306336894" "7" "82" "246" "0.333333333333333" "306283" "306280" "306286"
"AT1G01900" "Completely_Peaked" "1" "24" "82" "0.292682926829268" "312449" "312449" "312449"
"AT1G01910" "2.67448027043217" "6" "163" "803" "0.202988792029888" "315902" "315900" "315905"
"AT1G01920" "1.00549450549578" "4" "27" "168" "0.160714285714286" "316175" "316173" "316176"
"AT1G01930" "1.7380743714919" "67" "205" "512" "0.400390625" "322855" "322823" "322889"
"AT1G01940" "7.77774237821917" "4" "35" "383" "0.0913838120104439" "324412" "324411" "324414"
"AT1G01950" "4.93204607410604" "8" "50" "298" "0.167785234899329" "325579" "325573" "325580"
"AT1G01960" "2.95177899766462" "107" "177" "877" "0.201824401368301" "337774" "337712" "337818"
"AT1G01970" "1.01111111112922" "2" "19" "170" "0.111764705882353" "339882" "339881" "339882"
"AT1G01990" "2.97343810806397" "7" "147" "498" "0.295180722891566" "344343" "344341" "344347"
"AT1G02000" "1.45592105337003" "98" "319" "654" "0.487767584097859" "345831" "345780" "345877"
"AT1G02010" "2.26691746212192" "75" "88" "332" "0.265060240963855" "347921" "347878" "347952"
"AT1G02020" "1.00065832958383" "101" "58" "144" "0.402777777777778" "352894" "352843" "352943"
"AT1G02060" "8.05730211286197" "23" "61" "175" "0.348571428571429" "363120" "363116" "363138"
"AT1G02080" "3.97338843359073" "100" "437" "2027" "0.215589541193883" "373641" "373590" "373689"
"AT1G02090" "3.90497645048453" "21" "9" "638" "0.0141065830721003" "388389" "388375" "388395"
"AT1G02100" "2.28359112033829" "67" "326" "1488" "0.219086021505376" "389862" "389821" "389887"
"AT1G02110" "3.20761451516954" "6" "64" "453" "0.141280353200883" "393124" "393122" "393127"
"AT1G02120" "2.83663411662955" "110" "546" "1505" "0.362790697674419" "395745" "395697" "395806"
"AT1G02130" "3.34341976248332" "94" "530" "1610" "0.329192546583851" "400281" "400261" "400354"
"AT1G02140" "2.20131135692664" "15" "3276" "9489" "0.345241858994625" "404436" "404428" "404442"
"AT1G02145" "2.2966436236497" "4" "120" "494" "0.242914979757085" "405067" "405066" "405069"
"AT1G02150" "2.61452569899007" "61" "233" "690" "0.33768115942029" "408763" "408742" "408802"
"AT1G02160" "3.34621019782584" "14" "178" "552" "0.322463768115942" "410751" "410745" "410758"
"AT1G02170" "2.141616044351" "73" "947" "2319" "0.408365674859853" "411793" "411758" "411830"
"AT1G02205" "Completely_Peaked" "1" "11" "50" "0.22" "419478" "419478" "419478"
"AT1G02220" "3.89886578438572" "4" "15" "68" "0.220588235294118" "429084" "429082" "429085"
"AT1G02260" "4.78625218952094" "58" "92" "318" "0.289308176100629" "442875" "442841" "442898"
"AT1G02270" "1.68441992118488" "77" "84" "310" "0.270967741935484" "446109" "446060" "446136"
"AT1G02280" "2.79191483474301" "4" "343" "1071" "0.320261437908497" "450025" "450024" "450027"
"AT1G02290" "1.01785714284883" "2" "15" "62" "0.241935483870968" "452730" "452729" "452730"
"AT1G02300" "1.57364938672086" "16" "21" "160" "0.13125" "453185" "453180" "453195"
"AT1G02305" "2.54018158701961" "10" "96" "1844" "0.052060737527115" "457554" "457551" "457560"
"AT1G02310" "8.60526315685313" "2" "42" "182" "0.230769230769231" "460705" "460704" "460705"
"AT1G02320" "Completely_Peaked" "1" "22" "75" "0.293333333333333" "460321" "460321" "460321"
"AT1G02330" "2.18482925233276" "60" "244" "718" "0.33983286908078" "463585" "463541" "463600"
"AT1G02335" "3.18420916360352" "38" "53" "1510" "0.0350993377483444" "464489" "464461" "464498"
"AT1G02340" "3.41403967961808" "30" "25" "766" "0.0326370757180157" "466994" "466976" "467005"
"AT1G02360" "17.9704323407701" "48" "1308" "4179" "0.312993539124192" "473140" "473110" "473157"
"AT1G02370" "11.3589053043151" "5" "35" "195" "0.179487179487179" "475279" "475276" "475280"
"AT1G02380" "1" "2" "12" "108" "0.111111111111111" "476528" "476527" "476528"
"AT1G02400" "3.17968867845873" "12" "275" "855" "0.321637426900585" "486899" "486895" "486906"
"AT1G02410" "4.18689138089707" "110" "107" "490" "0.218367346938776" "490973" "490930" "491039"
"AT1G02460" "1.25111529159269" "8" "12" "76" "0.157894736842105" "506986" "506983" "506990"
"AT1G02475" "1.530775262344" "57" "84" "280" "0.3" "515378" "515344" "515400"
"AT1G02500" "9.88225925961934" "21" "2710" "8542" "0.317255911964411" "518254" "518247" "518267"
"AT1G02520" "3.04324538781988" "5" "16" "200" "0.08" "528016" "528014" "528018"
"AT1G02560" "1.1933731757894" "45" "49" "334" "0.146706586826347" "537843" "537825" "537869"
"AT1G02570" "2.80155519592632" "9" "52" "132" "0.393939393939394" "541313" "541309" "541317"
"AT1G02610" "2.01663172244464" "6" "41" "425" "0.0964705882352941" "555867" "555865" "555870"
"AT1G02640" "1.60038931650918" "3" "27" "336" "0.0803571428571429" "564538" "564537" "564539"
"AT1G02660" "1.74164512117903" "5" "26" "276" "0.0942028985507246" "574946" "574945" "574949"
"AT1G02680" "1.14585150878015" "76" "1156" "1384" "0.835260115606936" "580680" "580639" "580714"
"AT1G02690" "1.40052935028331" "10" "63" "250" "0.252" "584266" "584261" "584270"
"AT1G02720" "2.28924927600913" "4" "42" "199" "0.21105527638191" "592231" "592230" "592233"
"AT1G02730" "1.50145480607677" "52" "36" "122" "0.295081967213115" "598310" "598286" "598337"
"AT1G02740" "2.82892258035254" "21" "94" "247" "0.380566801619433" "602022" "602015" "602035"
"AT1G02750" "3.02044635173921" "7" "32" "225" "0.142222222222222" "602626" "602621" "602627"
"AT1G02780" "16.1645227945868" "83" "4342" "9675" "0.448785529715762" "609430" "609380" "609462"
"AT1G02810" "27.8427051770947" "42" "1132" "3415" "0.331478770131772" "618265" "618259" "618300"
"AT1G02816" "2.59228709254189" "86" "300" "1071" "0.280112044817927" "621590" "621550" "621635"
"AT1G02840" "7.71775998408917" "42" "1113" "4459" "0.249607535321821" "626787" "626780" "626821"
"AT1G02850" "4.28208959518226" "25" "112" "392" "0.285714285714286" "630514" "630500" "630524"
"AT1G02860" "5.02482050073492" "43" "163" "704" "0.231534090909091" "635301" "635292" "635334"
"AT1G02870" "6.68132801015159" "35" "241" "531" "0.453860640301318" "638646" "638623" "638657"
"AT1G02880" "3.24864712063462" "99" "443" "754" "0.587533156498674" "643098" "643075" "643173"
"AT1G02890" "2.14949583748889" "65" "325" "1478" "0.219891745602165" "651886" "651851" "651915"
"AT1G02900" "3.10331543366699" "10" "2225" "5498" "0.404692615496544" "654368" "654363" "654372"
"AT1G02910" "21.6363896886061" "71" "291" "861" "0.337979094076655" "658146" "658133" "658203"
"AT1G02920" "22.8211377027106" "61" "1095" "2516" "0.435214626391097" "659771" "659740" "659800"
"AT1G02930" "3.68077532539107" "10" "211" "530" "0.39811320754717" "662266" "662260" "662269"
"AT1G02950" "1.49074989953103" "14" "56" "231" "0.242424242424242" "666448" "666442" "666455"
"AT1G02960" "2.24494451673251" "8" "35" "224" "0.15625" "669805" "669803" "669810"
"AT1G02970" "3.40713641545674" "8" "88" "290" "0.303448275862069" "673403" "673401" "673408"
"AT1G02990" "1.25536784039468" "9" "17" "216" "0.0787037037037037" "685045" "685041" "685049"
"AT1G03000" "4.08163265306122" "4" "32" "352" "0.0909090909090909" "691938" "691937" "691940"
"AT1G03010" "2.08393980008034" "4" "41" "130" "0.315384615384615" "695279" "695277" "695280"
"AT1G03030" "1.79411415687671" "4" "104" "847" "0.122786304604486" "703567" "703566" "703569"
"AT1G03040" "2.0853558556452" "82" "139" "370" "0.375675675675676" "706614" "706582" "706663"
"AT1G03060" "2.33333333333333" "2" "36" "1129" "0.0318866253321523" "722380" "722379" "722380"
"AT1G03070" "Completely_Peaked" "1" "38" "122" "0.311475409836066" "729935" "729935" "729935"
